address,all_amenities,description,email,phone,category,hotelclass,latitude,longitude,pricelevel,pricerange,rankingdenominator,name,rankingposition,rankingstring,rating,weburl,website
"No.26, Marine Drive, Colombo 25000 Sri Lanka","Free Internet, Restaurant, Free Wifi, Air conditioning, Internet, Shuttle Bus Service, Room service, Free parking, Bar/Lounge, Spa, Airport transportation, Wifi, Public Wifi, Dry Cleaning, Meeting rooms, Business center, Laundry Service, Concierge, Family Rooms, Refrigerator in room, Minibar, Babysitting, Non-smoking hotel, Safe, Baggage Storage, Bath / Shower, BBQ Facilities, Bottled Water, Breakfast in the Room, Express Check-in / Check-out, Clothes Rack, Coffee / Tea Maker, Desk, Entertainment Staff, Evening Entertainment, Free Private Parking Nearby, Complimentary Toiletries, 24-Hour Front Desk, Hair Dryer, Iron, Ironing Service, Private Check-in / Check-out, Secured Parking, Shared Lounge / TV Area, Shoeshine, Sofa, Sun Terrace, Telephone, VIP Room Facilities, Wake Up Service / Alarm Clock, Wine / Champagne, not provided",Our hotel is a globally recognized star class hotel with breathtaking sea view rooms which provide excellent standard and service for our customers; the archetypal city hotel and easy accessibility to all Colombo major business and leisure hubs also features a restaurant serving wide range of Chinese / western / Asian cuisine & conference facilities & wellness and spa.,sunhillhotel@gmail.com,+94 11 2 599299,hotel,0.0,6.897065,79.85237,$,"LKR 20,384 - LKR 29,121",67,Hotel Sunhill,67,#67 of 67 small hotels in Colombo,2.5,https://www.tripadvisor.com/Hotel_Review-g293962-d6641383-Reviews-Hotel_Sunhill-Colombo_Western_Province.html,https://www.facebook.com/SunHillHotel/
"8 Barnes Avenue, Dehiwala-Mount Lavinia 31000 Sri Lanka","Internet, Free Internet, Airport transportation, Public Wifi, Free Wifi, Air conditioning, Suites, Room service, Free parking, Wheelchair access, Pets Allowed, Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Business center, Laundry Service, Concierge, Family Rooms, Multilingual Staff, Accessible rooms, Non-smoking hotel, Flatscreen TV, Beach Access, not provided","Royce Boutique Hotel is a charming boutique property situated within a 5-minute walk of Mount Lavinia Beach and 1 hour from the Airport. It offers free Wi-Fi access in its public areas. Royce Boutique Hotel is a 10-minute drive from Dehiwala's National Zoological Garden and the city of Colombo. Bandaranaike International Airport is a 45-minute drive away. Fitted with mosquito nets, rooms offer air conditioning and a fan, a flat-screen TV, and an attached bathroom with hot shower facilities. Some rooms include a private balcony. At Royce Boutique Hotel, guests can head to the reception for assistance with services such as airport transfer, laundry service and Tuk-tuk shuttle. Free public parking spaces are available at a nearby location.",enquiry@roycehotelgroup.com,+94 11 2 716653,hotel,3.0,6.840439,79.86587,$,"LKR 11,648 - LKR 20,384",15,Royce Hotel,5,#5 of 15 hotels in Dehiwala-Mount Lavinia,4.0,https://www.tripadvisor.com/Hotel_Review-g499079-d4314701-Reviews-Royce_Hotel-Dehiwala_Mount_Lavinia_Western_Province.html,http://www.roycehotelgroup.com
"No 60 Horton Place, Colombo 00700 Sri Lanka","Free Wifi, Hair Dryer, Kids Activities, Free parking, Spa, Airport transportation, Non-smoking rooms, not provided","Nestled in the heart of Colombo, the newly crafted five boutique style rooms are a new feature offered by the established holistic health center Prana Lounge. Exquisitely designed, aligning with its heritage listing, this home offers a city retreat space for a conscious global community traveller, seeking serenity and comfort whilst finding personal balance in self discovery, recovery and rejuvena",no email,no phone,hotel,4.0,6.91154,79.86909,$,"LKR 26,209",93,Prana Home,48,#48 of 93 hotels in Colombo,4.5,https://www.tripadvisor.com/Hotel_Review-g293962-d16674447-Reviews-Prana_Home-Colombo_Western_Province.html,no website
"No. 177 R A De Mel Mawatha, Colombo 00300 Sri Lanka","Internet, Free Internet, Free parking, Restaurant, Kitchenette, Airport transportation, Wifi, Free Wifi, Breakfast included, not provided","Located securely in the high security zone, Our hostel is in the city’s most resourceful, finest and trendiest district. Everyone who is interested in shopping, dining, indulging and partying, the city you want to stay is Colombo, welcome to Miracle City Inn the Miraculous Hostel.",info@miraclecityinn.com,+94 11 2 386386,hotel,2.0,6.914334,79.85092,$,"LKR 4,659 - LKR 6,989",42,Miracle City Inn,26,#26 of 42 hostels in Colombo,3.5,https://www.tripadvisor.com/Hotel_Review-g293962-d17568033-Reviews-Miracle_City_Inn-Colombo_Western_Province.html,http://www.miraclecityinn.com
"103 Kandy Road, Kiribathgoda 11600 Sri Lanka","Pool, Room service, Free parking, Restaurant, Meeting rooms, Laundry Service, Air conditioning, Breakfast Buffet, Internet, Kids Activities, Free Internet, Bar/Lounge, Spa, Wifi, Free Wifi, Dry Cleaning, Business center, Fitness center, Concierge, Banquet Room, Self-Serve Laundry, Conference Facilities, Outdoor pool, not provided","The Luxury City Hotel Clarion is very conveniently situated within easy reach from both The Katunayaka International Airport and the busy business hub, Colombo. Hotel boasts a fully equipped state of the art Business Centre with free Wi-Fi connectivity and latest Conference facilities. Whether it is a Banquet for 400+ guests or for a few close friends, Clarion has all the required facilities to handle both equally well to your utmost satisfaction. The highly motivated and committed staff will leave you amazed with their impeccable service. There are 32beautifully appointed rooms including 25 Superior rooms and 6 Deluxe rooms. There is even a Swimming Pool and a Gymnasium with state of the art equipment and professionally qualified personal trainers.",info@clarionlk.com,+94 11 2 916191,hotel,3.0,6.982984,79.93294,$,"LKR 8,445 - LKR 13,687",1,Hotel Clarion,1,#1 of 1 small hotel in Kiribathgoda,3.0,https://www.tripadvisor.com/Hotel_Review-g1954880-d1953101-Reviews-Hotel_Clarion-Kiribathgoda_Western_Province.html,http://www.clarionlk.com
"30/26 Longdon Place (off Malasekara Mawatha), Colombo 00700 Sri Lanka","Internet, Suites, Free Internet, Free parking, Airport transportation, Wifi, Free Wifi, Breakfast included, Air conditioning, Family Rooms, Microwave, Refrigerator in room, Kids Activities, Room service, Kitchenette, Hot Tub, Minibar, Breakfast Available, Bath / Shower, Clothes Rack, Desk, Complimentary Toiletries, Mosquito Net, Seating Area, Sofa, not provided","A newly built, up market, air conditioned designer studio apartment (Bed and Breakfast) located in one of Colombo's most residential neighborhoods 'Longdon Place Colombo 7'. Ample space and finest conveniences; An excellent alternative to 3 star plus hotel accommodation.",urbanblcolombo@gmail.com,+94 77 737 1171,hotel,0.0,6.898248,79.87317,$,"LKR 24,170 - LKR 27,665",38,Urban Bliss Studio,1,#1 of 38 condos in Colombo,5.0,https://www.tripadvisor.com/Hotel_Review-g293962-d9794472-Reviews-Urban_Bliss_Studio-Colombo_Western_Province.html,no website
"05 185 Havelock Rd, Colombo 00500 Sri Lanka","Internet, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Wifi, Free Wifi, Non-smoking rooms, Air conditioning, Refrigerator in room, Non-smoking hotel, Flatscreen TV, Breakfast Buffet, Private Balcony, Breakfast Available, Housekeeping, Arabic, Bath / Shower, Cable / Satellite TV, Coffee Shop, Convenience Store, Currency Exchange, Desk, Electric Kettle, English, Complimentary Toiletries, 24-Hour Front Desk, Hindi, Iron, Newspaper, Private Bathrooms, Seating Area, 24-Hour Security, Tamil, Telephone, Tile / Marble Floor, Umbrella, Wardrobe / Closet, not provided","Saveira Colombo is located in Colombo, 4.3 km from American Embassy and 8 km from Khan Clock Tower. Among the facilities of this property are a restaurant, a 24-hour front desk and room service, along with free WiFi. There is free private parking and the property has paid airport shuttle service.",saveiracolombo@gmail.com,+94 11 2 555009,hotel,3.0,6.884751,79.86791,$,"LKR 10,192 - LKR 11,357",93,Saveira Colombo,67,#67 of 93 hotels in Colombo,4.0,https://www.tripadvisor.com/Hotel_Review-g293962-d18928620-Reviews-Saveira_Colombo-Colombo_Western_Province.html,no website
"No.35/1, Sri Dharmapala Road, Colombo Sri Lanka","Kids Activities, Air conditioning, Family Rooms, Bicycle Rental, Currency Exchange, Beach Access, not provided",no description,lblcolombo@gmail.com,+94 11 5 670456,hotel,0.0,6.84442,79.86441,no price level,No price mentioned,9,LBL Colombo,3,#3 of 9 inns in Colombo,5.0,https://www.tripadvisor.com/Hotel_Review-g293962-d12990682-Reviews-LBL_Colombo-Colombo_Western_Province.html,http://www.lblhotel.com
"30 Sea View Ave, Colombo 00300 Sri Lanka","Free parking, Restaurant, Airport transportation, Free Wifi, Breakfast included, Laundry Service, Air conditioning, Family Rooms, Outdoor pool, not provided",no description,no email,+94 77 697 1647,hotel,2.0,6.909585,79.85156,no price level,No price mentioned,42,Island Hostels Colombo,34,#34 of 42 hostels in Colombo,3.5,https://www.tripadvisor.com/Hotel_Review-g293962-d15556756-Reviews-Island_Hostels_Colombo-Colombo_Western_Province.html,https://www.facebook.com/islandhostels/
"42 48 College Avenue, Dehiwala-Mount Lavinia 31000 Sri Lanka","Free Internet, Kitchenette, Wifi, Laundry Service, Air conditioning, Multilingual Staff, Internet, Beachfront, Free parking, Airport transportation, Free Wifi, Non-smoking rooms, Refrigerator in room, Non-smoking hotel, Breakfast Available, Sauna, Bath / Shower, Clothes Rack, Coffee / Tea Maker, Desk, German, Iron, Kitchenware, Mosquito Net, Seating Area, Beach Access, not provided","From the moment you step into any one of the Cottage Garden Bungalows, set amidst a lush tropical garden in College Avenue, Mount Lavinia, you will enjoy the serenity and comfort of an elegantly furnished bungalow in an exclusive private setting. Located about 100 meters from the iconic Mount Lavinia Beach, these Bungalows are ideal for a getaway weekend, or for a longer stay. Each bungalow consists of a master bedroom furnished with twin beds, bedside lamps, satellite TV connectivity, a built in cupboard as well as chairs and a writing desk for your laptop and other personal items. While windows on both sides of the bedroom make it spacious and airy, you will be lulled to sleep by traditional ceiling fans aided by the winds that blow in from the sea. However, each cottage has its own A/C if required. The verandah with its easy chairs has direct access to the garden. Additional features include a bathroom complete with toilet, wash basin, shower stall with hot and cold water, towels and toiletries; and a kitchenette equipped with a two-burner gas cooker, refrigerator, cutlery, crockery, saucepans and a tea/coffee service. It is also stocked with fresh juice, fruit, bread, butter, eggs, jam/marmalade, curd and coffee or tea. Here, you may assemble your own personalized breakfast at any time convenient to you – after a late lie in bed, or a vigorous swim in the sea, or a stroll along the beach. You don’t have to worry about washing up; this is the job of the bungalow keeper.",cottageg42@yahoo.com,+94 77 794 7804,hotel,2.0,6.838687,79.86414,$,"LKR 13,978 - LKR 16,890",1,Cottage Garden Bungalows,1,#1 of 1 cottage in Dehiwala-Mount Lavinia,4.5,https://www.tripadvisor.com/Hotel_Review-g499079-d3400205-Reviews-Cottage_Garden_Bungalows-Dehiwala_Mount_Lavinia_Western_Province.html,http://www.cottagegardenbungalows.com
"78 Peer Saibo Street, Colombo 01200 Sri Lanka","Room service, Free parking, Airport transportation, not provided","Located in Colombo, Opulence Colombo is a 15-minute walk from Khan Clock Tower. Located around 2.3 km from R Premadasa Stadium, the hotel is also 5.5 km away from American Embassy. Colombo Dutch Museum is a 16-minute walk from the hotel and Sugathadasa Stadium is 1.8 km away. At the hotel, each room has a desk, a flat-screen TV and a private bathroom. Opulence Colombo has certain units that hav",no email,no phone,hotel,3.0,6.93823,79.8595,$,"LKR 8,154",93,Opulence Colombo,59,#59 of 93 hotels in Colombo,4.5,https://www.tripadvisor.com/Hotel_Review-g293962-d16865002-Reviews-Opulence_Colombo-Colombo_Western_Province.html,https://www.facebook.com/OpulenceColombo/
"30 College Avenue Mount Lavinia, Sri Lanka, Dehiwala-Mount Lavinia 10370 Sri Lanka","Internet, Free Internet, Restaurant, Free Wifi, Public Wifi, Non-smoking rooms, Air conditioning, Breakfast Available, Blackout Curtains, Room service, Airport transportation, Wifi, Breakfast included, Laundry Service, Babysitting, Non-smoking hotel, Safe, Parking, Housekeeping, Kids Stay Free, Baggage Storage, Bath / Shower, Bidet, Books, DVDs, Music for Children, Bottled Water, Breakfast in the Room, Cable / Satellite TV, 24-Hour Check-in, Children's Television Networks, Convenience Store, Desk, Dishwasher, Electric Kettle, English, Extra Long Beds, Complimentary Toiletries, Complimentary Welcome Drink, 24-Hour Front Desk, Hair Dryer, Highchairs Available, Ironing Service, Laptop Safe, Mosquito Net, Newspaper, Outdoor Dining Area, Outdoor Furniture, Oven, Parking Garage, Private Bathrooms, Paid Public Parking Nearby, Seating Area, 24-Hour Security, Secured Parking, Separate Dining Area, Shoeshine, Street Parking, Tamil, Taxi Service, Telephone, Tile / Marble Floor, Umbrella, Wake Up Service / Alarm Clock, Walk-in Shower, Wardrobe / Closet, Photo Copier / Fax In Business Center, Beach Access, not provided","Tropic Inn offers guest a unique hospitality experience, based on individual attention and value for their money. We have been creating memorable holidays for our thousands of satisfied and repeat customers according to their expectation. We will do our very best to make your stay with us a comfortable one. We have 15 rooms which are upgraded to present standards to keep up with the current demand. All our private rooms come with A/C, comfortable mattress, spotless linen, cable T.V, attached bathroom with hot/cold water etc. Our hotel is very close to the Mount Lavinia beach, bus stop and train station. We are only 5 km from down town Colombo. If you want to go to Hikkaduwe, Mirissa, Galle or Yala, our hotel is a good stop over point. Once you book your room and if you want airport pick up please send us an email. We will pick you any time of the day. Our services and facilities • Comfortable A/C rooms • Attached bathroom with hot/cold water • Restaurant service: “A La Carte” Menu (serving breakfast, launch & dinner) • Buffet breakfast • Reception opened 24 hours, multilingual staff • Flat-screen TV with international channels • Free Wi-Fi • Free parking • Laundry service • Daily room service • Safety locker in the rooms • Reading light next to the bed • 2 Minutes walk to the beach (Mount Lavinia Beach) • Airport pick up and drop service • Safe environment and Close to all Transport • Early check- in, if rooms are available and many more facilities",no email,+94 11 2 738653,hotel,3.0,6.838722,79.8651,$,"LKR 11,939 - LKR 14,851",15,Tropic Inn - Mount Lavinia,2,#2 of 15 hotels in Dehiwala-Mount Lavinia,4.0,https://www.tripadvisor.com/Hotel_Review-g499079-d583010-Reviews-Tropic_Inn_Mount_Lavinia-Dehiwala_Mount_Lavinia_Western_Province.html,https://www.facebook.com/p/Tropic-Inn-at-Mount-Lavinia-100067507094066/?_rdr
